user_key,created_at,created_str,retweet_count,favorite_count,text
ten_gop,1.47E+12,7/19/16 18:09,0,0,"This guy came here legally &amp; he supports Trump!
Piss dems off, show them this pic! 
#TrumpPence16 
#RNCinCLE https://t.co/3CsCNfSYIH"
ten_gop,1.47E+12,7/19/16 21:16,71,56,"This pic is just another slap to the lying Media! 
Please spread it!
#AllLivesMatter
#RNCinCLE https://t.co/1jjrohn5Py"
ten_gop,1.47E+12,7/19/16 22:20,34,38,"Obama is Islam's bitch! He will be remembered by Americans as a Muslim puppet! 
#ResignObama
#RNCinCLE https://t.co/mObyElb50F"
ten_gop,1.47E+12,7/19/16 23:35,1,2,"'It's reckless for Hillary Clinton to call for a 550% increase in the Syrian refugee program'~ Mike Pence
#RNCinCLE https://t.co/8lHrktYe4m"
ten_gop,1.47E+12,7/20/16 0:44,197,136,"MSM won't show you this photo! 
Help this guy to spread his word &amp; reach more people!
#RNCinCLE https://t.co/4KeHsIGS9h"
ten_gop,1.47E+12,7/20/16 1:47,379,230,"Reminder: Hillary took $150mil from Muslim States! They totally control her every decision! 
#RNCinCLE 
#Trump2016 https://t.co/3JrqpyqFaB"
ten_gop,1.47E+12,7/20/16 2:52,105,87,"Latinas would die if they knew how much Hillary got paid for every minute of her speeches!_ôÖ‰
#NeverHillary #RNCinCLE https://t.co/xqkorIDOBP"
ten_gop,1.47E+12,7/20/16 16:55,116,59,"These 2 women gonna destroy the whole world single-handedly!
RT to stop them!
#RNCinCLE 
#NeverHillary https://t.co/h6aWjWVoYV"
ten_gop,1.47E+12,7/20/16 17:59,56,34,"America is under the biggest threat of terrorism..
Meanwhile Hillary plotting new attacks with her Saudi Masters! https://t.co/ebzFmRZ1vg"
ten_gop,1.47E+12,7/20/16 19:01,0,0,"Reminder: Soros is the biggest donor of Hillary Clinton!
#RNCinCLE 
#NeverHillary https://t.co/6YijELj5Nx"
ten_gop,1.47E+12,7/20/16 21:04,394,319,"We owe illegals NOTHING!
We owe our veterans EVERYTHING!
RT if you agree!
#RNCinCLE 
#Trump2016 https://t.co/d13Jp7gkVr"
ten_gop,1.47E+12,7/21/16 0:07,13,10,"RT if you are also looking forward to a President that cares about our cops!
#RNCinCLE 
#BatonRouge
#AllLivesMatter https://t.co/wtUhGWupqw"
ten_gop,1.47E+12,7/21/16 14:12,315,311,Silent majority is for Trump! Great pic!_ôïˆ Show it to stupid democrats! https://t.co/zswIIfOdYT
ten_gop,1.47E+12,7/21/16 18:25,,,.@cristinalaila1 is BACK!
ten_gop,1.47E+12,7/21/16 18:38,0,0,"RT @TEN_GOP: This pic is just another slap to the lying Media! 
Please spread it!
#AllLivesMatter
#RNCinCLE https://t.co/1jjrohn5Py"
ten_gop,1.47E+12,7/21/16 19:05,105,78,"RT if you also think that we need Saudis influence _ôï_OUT of Twitter!
#FreeMilo
#TrumpYourself 
#ThursdayThoughts https://t.co/CDT6Kzg89x"
ten_gop,1.47E+12,7/21/16 19:35,14,15,"Hey #BlackLivesMatter!  #CharlesKinsey has nothing to do with racism! Stop feeling so victimized! 
#BlueLivesMatter https://t.co/R1VjRedPoo"
ten_gop,1.47E+12,7/21/16 20:08,1,0,"Democrats: Hillary in Trouble, äóìWeäó»re Panickedäóù
#TrumpIsWithYou
#TrumpYourself 
#RNCinCLE
https://t.co/2ZC9cpAFgh https://t.co/Cis0MgujKb"
ten_gop,1.47E+12,7/21/16 20:32,,,"For all those who blame police for one cop's mistake! Become cops and TRY to do better, OK?!"
ten_gop,1.47E+12,7/21/16 22:03,0,0,"RT @TEN_GOP: #BlackLivesMatter constantly attacks Sheriff D. Clarke!
RT if you think he is real patriot to support him!
#RNCinCLE https://täó_"
ten_gop,1.47E+12,7/21/16 22:22,0,0,"Saudi Arabia has funded 20% of Hillary's presidential campaign! 
_ôï_She is with terrorists!
_ôïç#TrumpIsWithYou
#RNCinCLE https://t.co/9vhzMVW82C"
ten_gop,1.47E+12,7/21/16 23:03,47,33,"By banning @Nero and other conservative accounts Twitter officially endorsed Hillary! Am I right, @Jack? 
#FreeMilo https://t.co/rkSAHb7byS"
ten_gop,1.47E+12,7/21/16 23:18,201,213,"'Trump will show 0 tolerance for people calling for the death of police officers'~ Newt Gingrich
#TrumpIsWithYou https://t.co/bBd5nBt4Vy"
ten_gop,1.47E+12,7/21/16 23:39,1,0,"Attantion! _ô_Â_ô_Â
Every RT notifies @Jack that we want @Nero released! 
We stand with Milo!
#FreeMilo! 
#RNCinCLE https://t.co/EcpDUKHXiz"
ten_gop,1.47E+12,7/21/16 23:55,1,0,"It's time to say THANK YOU to all delegates at #RNCinCLE! 
You are true patriots!
#TrumpIsWithYou AMERICA!!! https://t.co/x6VQpHYeHU"
ten_gop,1.47E+12,7/22/16 0:04,1,2,"Sheriff Joe Arpaio:
'A nation without borders is no nation at all.'
#RNCinCLE #gopconvention
#TrumpIsWithYou https://t.co/PDeFXpCWH3"
ten_gop,1.47E+12,7/22/16 0:19,114,141,"_ô_ÂPastor Mark Burns: ""Under a Donald Trump administration: #AllLivesMatter!""_ôïè_ôïè
#RNCinCLE https://t.co/25KtvsxOxU"
ten_gop,1.47E+12,7/22/16 0:50,89,41,"Hey @jack! Explain me why @Nero was suspended but her account_ôïˆ is still OK?
#FreeMilo https://t.co/RcYC6Pfewi"
ten_gop,1.47E+12,7/22/16 0:54,1,1,"Rudy Giuliani: ""I have a passion for the police."" _ôïè_ôïè_ôïè
#RNCinCLE #gopconvention https://t.co/fszfbsKpxD"
ten_gop,1.47E+12,7/22/16 1:22,47,43,"'Europe is exploding. We have terror attacks by jihadists almost every week, almost every day.'~ Geert Wilders
#Nice https://t.co/nd7clhUnnt"
ten_gop,1.47E+12,7/22/16 1:34,1,1,"Peter Thiel: ""I'm proud to be gay. I'm proud to be a Republican. Most of all I'm proud to be an American"" 
#RNCinCLE https://t.co/wLFe5mplT6"
ten_gop,1.47E+12,7/22/16 1:40,0,0,RT @Cernovich: In the middle of Soros's paid protesters. #RNCinCLE 50 people. Small. Low energy. https://t.co/Mm6zuKRmez
